,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
72,33835.82021,25828.45317,23199.50448,24073.23194,23439.08343,28271.46218,35106.48603,24369.62294,32341.79222,27793.40379,31141.53473,34312.37962,36886.58396,35041.74346,33858.74139,33266.87405,47332.28236,43062.27597,36844.52688,35936.85894
73,33521.13523,25270.08082,22147.38699,23102.26273,22537.02044,27406.21625,34392.11016,23200.27659,31967.11663,27018.23437,30548.28832,33575.11572,35981.1937,34570.19003,33686.6208,32946.91517,47232.81445,42515.87088,36365.93749,35623.02625
74,33517.01687,25123.33925,21475.71585,22507.23421,22067.09479,26981.40758,34076.8431,22477.86596,32019.22089,26670.66992,30375.18205,33385.61864,35513.1437,34418.97494,34027.3653,33018.70169,47503.65129,42367.48591,36314.90605,35670.62931
75,33800.18879,25291.68744,21049.47574,22311.92023,21970.65923,26951.95509,34108.82099,22170.78323,32578.39525,26804.66467,30621.027,33619.43593,35342.66378,34643.09737,34856.33942,33664.33543,48222.42085,42732.0359,36721.31384,36214.15412
76,34662.70091,25785.42376,20883.7101,22533.63205,22335.60613,27725.75926,34951.73404,22300.29377,34063.60009,27633.96877,31734.34255,34617.82406,35600.81785,35268.81964,36609.48399,35119.03462,49670.90392,43704.84602,37460.44108,37418.67859
77,36729.53364,26875.84358,21133.39737,24161.74717,24100.96902,29862.37779,37270.55827,22966.70578,37197.16247,30074.4612,34537.43971,36879.86196,36444.78627,36545.68069,39915.59609,37996.60666,52341.61354,46019.06006,38869.03655,39853.91867
78,39619.46531,28373.08997,21704.83704,27570.20883,27630.00626,33432.05521,40523.51147,24156.1173,41582.55897,33960.82598,38791.43748,39773.58305,37724.1705,38457.83013,44061.2398,42548.15891,55935.00467,48824.86282,40780.65864,43215.66717
79,40980.56779,29656.01451,22423.86198,29343.11446,29141.89227,34860.88757,41717.80579,25576.03693,43538.39466,35233.16847,39876.44825,41345.24942,38512.97492,40149.95925,45766.62342,44350.52949,57163.14489,50161.95032,42442.35505,45385.07627
80,40223.60951,30035.68109,23466.5121,29304.15058,28831.78267,34192.08334,40819.73449,27302.9323,43103.09023,34330.70182,38248.04331,41615.70808,38556.23302,41139.87656,44706.79338,44065.88515,55477.26698,49292.11303,42975.28593,45112.90006
81,38890.25304,29394.31578,24726.49641,29935.44743,29228.90476,33944.35159,39981.73413,29074.34855,42865.02731,33969.04055,36674.92756,41930.66266,37791.9364,41332.64198,42997.70609,44117.36965,52336.90362,47110.96977,42024.80619,43476.19182
82,37504.77985,28463.67719,25724.79713,30755.15418,29732.7436,33762.08072,38860.7856,30089.85259,42367.36581,33805.11324,35317.72667,41843.65934,36408.52123,40816.7738,41219.48193,43758.74648,49132.37386,45046.2527,40565.6345,41932.08855
83,35966.31079,27429.29266,26496.07691,31234.26697,30039.95693,33083.63475,37141.36748,30685.10521,41099.6018,33407.95655,34101.98805,41510.26194,34815.36322,39929.03363,39390.19489,43161.08266,46374.03235,42861.73672,39039.92468,40690.23596
84,34463.94951,26265.42335,27037.38681,31459.11657,30136.42549,32427.13481,35492.67202,31015.33339,39627.75995,32902.17506,33179.87499,40708.8081,33387.57487,38904.71301,37760.58265,42162.54121,43943.12599,40740.37857,37682.72363,39801.58655
85,33220.39603,25279.39397,27286.85252,31637.45857,30335.68388,32043.76353,34325.02182,30877.8816,38215.69659,32463.29405,32542.61031,39955.46983,32030.02566,37792.64941,36580.05459,41511.85628,42180.73735,39193.19925,36499.81087,39262.12715
86,32409.69086,24562.79992,27423.11809,31666.90521,30349.73643,31357.36785,33562.92631,30662.28851,36947.72396,31985.46111,31992.08109,39126.52622,31076.43343,36756.79585,35564.46865,40340.93351,40805.36506,37952.54263,35849.86884,38869.84514
87,31889.46607,24256.48178,27482.92616,31546.70812,30221.54772,31036.36579,33092.09774,30673.81777,36273.83973,31702.95449,31582.56647,38741.38487,30571.02093,36146.18307,34924.89626,39313.54917,40381.17735,37056.14335,35584.64671,38701.68979
88,32057.02666,23997.98013,27873.35044,31577.80912,30255.28021,31100.03145,33021.65327,31083.43098,36606.22173,31981.92484,31639.30896,39055.39176,30544.07999,36544.62354,34968.0616,39531.30906,41141.73325,36749.96872,35571.29118,38653.12947
89,33350.91895,24923.91491,29299.67877,32285.05768,31020.51049,32546.66291,34240.30355,33178.00686,39530.45533,33542.41518,32990.29671,40717.83631,32073.92497,39489.03567,37134.0834,41796.64568,43647.74109,37954.1509,36644.42908,39420.69342
90,34710.36182,27204.34487,31130.95547,33864.389,32962.45099,34806.1688,35839.19039,35526.8992,43592.9248,35436.05124,35451.48609,42117.08924,33894.10628,42754.88979,40482.38876,44702.8845,46243.25068,40150.95012,38444.78693,41314.12439
91,34127.28721,27260.46992,31165.13962,33457.28835,32327.45649,34845.11728,35104.79276,35804.98726,44389.32271,35290.34269,35583.35559,41551.31885,33762.6983,44374.89349,41218.81531,45072.45958,46716.68785,40524.77092,38888.71462,41096.17969
92,33131.83342,26998.77738,30708.91563,32596.66198,31449.24696,34332.28398,34292.07565,35400.93021,44473.63256,34643.87311,35266.38206,40772.25236,33284.41996,44802.05052,41443.44961,44761.40696,46692.93716,40718.69089,39007.92814,40442.56013
93,32000.55917,26541.1969,29999.15828,31036.63606,30200.05232,32988.3846,33047.15543,34290.03749,43467.40436,33247.55053,34180.17658,39624.76809,32451.6253,44360.43057,40608.98544,43392.53904,45640.17835,40572.59082,38895.01327,39456.78628
94,30261.77256,25751.70169,28518.25043,28741.64051,28034.03182,30725.90333,31316.25332,32306.56202,41226.15304,30890.86306,32175.03584,37751.43106,31293.22048,42883.63946,38585.12223,40866.37991,43649.85627,39777.36204,38138.27127,37863.53621
95,28290.35965,24514.14947,26966.24238,25981.20593,26035.16932,28359.78217,29189.07897,30126.04623,39106.66261,28604.64091,30004.4845,35727.9068,29771.09867,41281.01245,36625.83313,38519.0725,41823.63554,38636.9235,37206.67365,36100.4655
96,26662.99762,23608.88624,25880.17591,24273.99867,24618.94198,26792.02704,27555.04053,28716.06018,37896.06202,27078.10069,28715.79027,34050.80494,28633.40516,40399.53244,35515.5421,37044.78481,40595.29842,37802.6642,36361.99205,35007.37617
97,25764.63713,23079.8405,25428.08086,23307.56007,23664.20338,25972.04489,26436.04488,28101.47239,37642.23499,26296.017,28249.29388,33080.26244,28116.71262,40252.99598,35232.65428,36207.10145,40132.84271,37500.86692,35766.67191,34646.35249
98,25226.30235,22975.02523,25469.45652,22729.90816,23301.22375,25497.50138,25810.60849,27873.02589,37940.36877,26031.92209,28115.43653,32605.25656,28231.81563,40642.10705,35377.80845,35702.89123,40102.91134,37567.39523,35587.15444,34691.30742
99,24992.46916,23181.94348,25821.20212,22530.83202,23478.15906,25516.60703,25460.74709,28198.66538,38620.12599,26110.01509,28422.16672,32480.81681,28814.68124,41485.47645,36008.78656,35733.56011,40599.94639,38055.27616,35667.99432,35211.54405
100,25149.42096,23581.81528,26857.37683,22774.15011,24186.20307,26209.43841,25572.22161,29300.38377,40081.13067,27073.26585,29534.67258,32986.00586,29607.94782,43203.93715,37671.01957,36557.47638,41787.2404,38925.98839,36149.63477,36519.11914
101,25753.38141,24322.26381,29411.41268,24498.81311,26391.2246,28373.33408,26278.38826,32008.79998,43235.66831,29488.8191,32358.76143,34105.24965,31007.2709,46532.53899,41036.53201,38938.46581,44265.95203,40399.26162,37041.35526,39073.90588
102,26781.11075,25509.16098,33223.66736,28072.42485,30509.57085,31977.219,27431.38725,36203.22665,47821.51441,33599.77231,36682.03386,35548.60751,32933.48564,50684.71201,45621.76704,42680.93983,47603.61578,42314.27342,38316.61096,42742.00778
